id;time;lang;place
2163;14,1;10;
2164;15,2;20;
2165;14,1;11;
2166;14,2;20;
2167;14,2;12;
2168;14,2;ostelb.;
2169;14,2;21;
2170;14,1;22;
2171;14,2;21;
2172;14,1;21;
2173;14,2;12;Dominikanerinnenkloster Hedingen bei Sigmaringen
2174;14,2;30;
2175;14,1;11;
2176;14,2;20;
2177;14,2;?;
2178;14,1;20;
2179;14,2;21;
2180;14,2;westl. Hessen;
2181;14,1;ambig;
2182;14,2;21;
2183;14,1;11;
2184;14,2;11;
2185;14,1;11;
2186;14,1;11;
2187;14,2;20;
2188;14,1;ambig;
2189;14,1;11;
2190;15,2;40;
2191;15,1;13;
2192;14,2;11;
2193;14,2;11;
2194;14,2;ambig;
2195;14,1;11;
2196;14,1;11;
2197;14,2;21;
2198;15,2;30;
2199;14,2;20;
2200;14,2;unbekannt;
2201;14,1;11;
2202;14,1;11;
2203;14,1;22;
2204;14,1;ambig;
2205;14,2;22;
2206;14,1;12;
2207;14,2;20;
2208;14,2;12;
2209;14,2;11;
2210;14,1;12;
2211;14,1;11;
2212;14,1;11;
2213;14,2;22;
2214;14,1;12;
2215;14,2;12;
2216;14,2;Übergangsgebiet Alem. / Rheinfrk.;
2217;14,2;11;
2218;14,2;21;
2219;15,1;22;
2220;14,2;12;
2221;14,2;12;
2222;14,2;22;
2223;14,2;ambig;
2224;14,1;12;
2225;14,2;22;
2226;14,2;11;
2227;14,1;ambig;
2228;14,2;20;
2229;14,2;20;
2230;14,2;20;
2231;15,2;11;
2232;14,2;?;
2234;14,1;20;
2235;14,1;21;
2236;14,1;ambig;
2237;14,2;11;
2238;14,1;11;
2240;14,1;20;
2241;14,1;20;
2242;14,2;11;
2243;14,2;12;
2244;14,1;20;
2245;14,2;11;Mannsberg
2246;14,1;11;
2247;14,2;11;
2248;14,2;21;
2249;14,2;11;
2250;14,1;11;
2251;15,2;11;
2252;14,1;11;
2253;14,1;22;
2254;14,2;11;
2256;14,1;12;
2257;14,2;22;
2258;14,2;20;
2259;14,2;20;
2260;14,2;ambig;
2261;14,2;20;
2263;14,2;ambig;
2264;14,2;11;
2265;14,1;12;
2266;14,2;20;
2267;14,2;12;
2268;14,2;11;
2269;14,2;ambig;
2270;14,2;ambig;
2271;14,2;11;
2272;14,2;ambig;
2273;14,2;22;
